主要是房间非常好，协程定了还不到400的豪华间，还送了一水果盘。唯一不足的就是房间有点老。据说周边新开了个香格里拉，所以应该会有比较实惠的价格来吸引人的。	1
分为五栋单独的楼房，每个楼房住的级别是不一样的。我一开始是订的标准单人间，但是过去以后只有标准双人间了。服务一般，他们没有主动为客人升级，而是只给我了一间标准双人间。我自己改到了商务单人间，但烟味较重，而且还是被放在了我最不喜欢的上楼梯正对的第一间屋子。服务员还是比较热情的。	1
非常好的酒店，无论是服务、设施还是交通、位置等都很方便，很多客人都会指定来这个酒店	1
服务做的很好，是最近住的最为满意的酒店。不管是前台还是客房的服务都很满意。在很多细节方面做得很好！楼下有家韩国餐厅也不错，我去的时候因为是第一天开，还送了一道菜给我。送的菜比我点的东西还贵。第一次主动给酒店做点评，因为我觉得好酒店值得大家去住一下！	1
第一次预订这家酒店，开了有段时间，门面比较小，不过里边的房间还是比较大的。因为是替别人订的，进去看了以后觉得设施蛮齐全的，要的大床房的确很大很舒服，以后要订也会再订这家的。宾馆反馈2008年4月28日：非常感谢您的入住及您对我们的肯定，我们将为您以后的每一次入住提供更贴心的服务！期待您的入住！	1
酒店总体可以,出门交通不太方便，离市中心较远，房内设施有点旧,电视机太小且旧,配不上五星级。饮食酒店配套还可以，中式，西式，日式都有。要提的一点就是房间没有提供收费的卫生用品（如一次性毛巾，安全套，清洁洗液等），我打电话要安全套，酒店房间清洁阿姨跟一同童装束的人抢着送来，一问之下每个收费50元，也太贵了，难怪他们抢着送来，可能他们在赚外快，不知道酒店对这方面有没有管理。	1
1.收了包天的10元话费,却打不出电话;2.装牙刷的盒子是一个空盒子3.不提供购物袋	0
交通方便,靠近地铁站.我住的是单人间,房间内还套了个客厅,装修很新,对比其房价还是很实惠的.早餐品种较少,不过对于经济型酒店也就如此了.	1
室外游泳池没有很好保养，黑黑的，反而刹风景。	1
据说是当地最好的酒店了，挂三。我们住的豪标。优点：酒店环境尚可，房间大。缺点：离景区有25分钟左右路程，位置不佳，尤其想要在古镇看夜景的话不建议住这里。	1
这个酒店相对来说还是很不错的，隔音效果很好，服务也不错，硬件设施也相对不错，值得推荐。	1
本人是第一次去襄樊，记得那天到襄樊已经是10月3号凌晨三点多，我通过携程定的是10月3号的房，酒店不知道我这么早就到，当晚没有房间了，前台服务人员很热情，通过请示值班经理，后来将值班经理休息的房间腾出来给我住，也是一个大床间，房间很大。并且到4号凌晨退房，也没多收房价。房间里还有免费水果并且晚上回来床上还会放一朵玫瑰花，显得非常温馨。下次去襄樊我还会住那儿，因为性价比高，酒店能处处为客人着想。	1
非常一般的酒店，房里设施很旧，房间送餐竟然要加多50%的送餐费。总之找不到好的方面来说，有其他选择就不要去了	0
交通不便,自己没车的话比较麻烦,而且周围吃饭的地方很少很少......	1
的确像很多网友说的，硬件设施不错，但服务太差！只能有招待所的水平！前台小姐听不懂chickin是什么意思，没想法！因为我的信用卡不是国际卡，所以没有visa或master的标志，竟	1
山西去过没几次，但是感觉上最好的就是这个酒店。前台比较满意，浴室很干净。	1
最滥的酒店什么都不行。这种酒店千万别去。80年代的3星	0
是携程在驻马店的唯一签约酒店，感觉有这一个也足够了。据称是当地唯一一家四星酒店，感觉确实算是当地最好的酒店了，主楼的硬件还可以。地理位置对于自驾车来说，还算比较便利。给携程的价格也不错，是门市价的四点五折。以268的价格入住主楼，性价比挺高的。就是用网线还要花20元，有点小家子气。	1
此酒店比较小气，热水和空调有时间限制，就连酒店大厅也是如此，在旅行空闲时享受不到舒适的环境，每次回宾馆后都要进行很多次交涉，对于此事很是失望；不过值得表扬的是，服务态度相当不错，称得上五级水准。	1
临街的房间，特别的吵，晚上几乎无法睡觉。房间隔音不好，白天听到隔壁“嘿咻”的声音，晚上听到隔壁打呼噜，让人无法睡觉。	0
酒店硬件条件不错，服务也挺好，价格合适。只是当地风俗让我们有点受不了，晚上酒店有新人结婚，乐队一直在大门外演奏，异常吵闹。本来酒店身处安静之地的优点被全部破坏了。	1
很安静，周围环境不错。交通较便捷。但周围娱乐设施，或者饮食之处不多。	1
替朋友多次订过该酒店，挺不错的，唯一就是停车不方便，从青年大街进入停车场以及从停车场驶入青年大街都不太便利。	1
位置优越，出行方便。就是房间较小，床位较小，房间装修较旧，其他方面都不错。	1
不错的选择。房间整洁卫生、服务也不错，价格合理，交通便利。	1
上个周末去无锡，看了诸位网友的推荐，住的友谊，总体感觉不错。总体情况基本上前面的网友们都说到了，酒店的周边环境一般，当然和风景区不能比，也不能算嘈杂，一般的市区非繁华地段大抵如此。好在酒店弯在里面，所以基本上没什么影响。酒店边上有可的便利，稍远一点有乐购，交通也很方便。房间床比较硬，卫生间比较小，电脑病毒比较厉害，不过总体来说瑕不掩瑜。我们住的2号楼商务房，房间大而且干净，卫生间也很干净。酒店的服务态度非常好，check-in和check-out的速度也很快，特别值得一提的是中餐厅的菜很不错，至少很对我们的胃口，听边上的一位当地人说这边的无锡菜很地道。是一家性价比很高的酒店。	1
刚刚经历了在丽江丽王酒店的痛苦经历，来到这里我被酒店的服务感动了，这才是真正的酒店，我觉得像回到家里一样。唯一的缺点是租车太贵了。	1
环境不错,装修也挺新，但房间小了点，洗浴间与睡房之间是用工艺玻璃相隔的，人在里面洗澡，在睡房能若隐若现地看见。如果是情侣，那是相当的性感，看着情人若稳若现的裸体呼之欲出，极容易遐想连翩，继而鼻血横流，继而破门而入，继而……。但夫妻与子女同行，若三四岁以下还好，大了，就相当尴尬。唯有把孩子抓进被窝里讲地下党如何埋伏斗争的革命故事。	1
总体来说各项指标符合万豪的水准，况且遇上特价期，价格非常有吸引力，套房浴室的冲浪浴缸非常舒服，在外面玩了一天回来享受一下泡泡浴，既能缓解疲劳，还能滋润干燥的肌肤，当然泡泡浴露自带！地点稍微有点偏，打的有的司机不知道在哪，得告诉在航天桥才明白。游泳池不是在酒店内，是酒店借用旁边一个健身中心的，条件一般，开放时间倒是挺长的。房内大瓶的依云矿泉水只卖48，这个价格相比其他五星级酒店消费水平真的不贵哦！	1
该酒店环境和服务还有待提高，总体性价比还算挺高！	1
